date,total_cases,g_values
25/12/2020,78900372,0.749193777
26/12/2020,79444648,0.689826912
27/12/2020,80316007,1.096812714
28/12/2020,80722943,0.506668615
29/12/2020,81168563,0.552036365
30/12/2020,81682100,0.632679674
31/12/2020,82334791,0.799062463
01/01/2021,82995719,0.802732347
02/01/2021,83586361,0.711653573
03/01/2021,84562686,1.168043432
04/01/2021,85080522,0.612369385
05/01/2021,85602976,0.614070045
06/01/2021,86173389,0.666347161
07/01/2021,86858493,0.795029658
08/01/2021,87553114,0.799715694
09/01/2021,88271818,0.820877713
10/01/2021,89570321,1.47102782
11/01/2021,90179260,0.679844611
12/01/2021,90720684,0.600386386
13/01/2021,91285431,0.622511841
14/01/2021,91913660,0.688202918
15/01/2021,92536600,0.677744744
16/01/2021,93153078,0.666199104
17/01/2021,94423627,1.363936681
18/01/2021,94955231,0.56299892
19/01/2021,95424481,0.494180252
20/01/2021,95896957,0.495130804
21/01/2021,96413779,0.538934723
22/01/2021,96967799,0.574627409
23/01/2021,97495600,0.544305435
24/01/2021,98650801,1.18487501
25/01/2021,99103816,0.459210666
26/01/2021,99484230,0.383854038
27/01/2021,99906350,0.424308456
28/01/2021,100382695,0.476791515
29/01/2021,100876652,0.492073858
30/01/2021,101351335,0.470557845
31/01/2021,102386737,1.021596805
01/02/2021,102784319,0.388313967
02/02/2021,103115360,0.322073448
03/02/2021,103489356,0.362696692
04/02/2021,103904129,0.400788077
05/02/2021,104306051,0.386820046
06/02/2021,104717607,0.394565796
07/02/2021,105552228,0.797020696
08/02/2021,105892677,0.322540799
09/02/2021,106186797,0.277752918
10/02/2021,106495827,0.291024881
11/02/2021,106850131,0.332692848
12/02/2021,107223259,0.349206872
13/02/2021,107590137,0.342162702
14/02/2021,108273047,0.634732903
15/02/2021,108564365,0.269058651
16/02/2021,108821889,0.23720859
17/02/2021,109111107,0.265771898
18/02/2021,109430421,0.292650317
19/02/2021,109763208,0.304108306
20/02/2021,110095123,0.302391854
21/02/2021,110747295,0.592371381
22/02/2021,111048993,0.272420198
23/02/2021,111315464,0.239958052
24/02/2021,111613010,0.267299789
25/02/2021,111975254,0.324553562
26/02/2021,112345587,0.330727537
27/02/2021,112712938,0.326983026
28/02/2021,113408769,0.617347939
01/03/2021,113722534,0.276667318
02/03/2021,113992400,0.237302134
03/03/2021,114304118,0.273455072
04/03/2021,114662108,0.313190816
05/03/2021,115040111,0.329666885
06/03/2021,115415660,0.326450485
07/03/2021,116146320,0.633068338
08/03/2021,116466493,0.275663491
09/03/2021,116788818,0.276753418
10/03/2021,117100880,0.267201951
11/03/2021,117486855,0.329608966
12/03/2021,117892198,0.345011363
13/03/2021,118297351,0.343663963
14/03/2021,119109524,0.686552144
15/03/2021,119459490,0.293818654
16/03/2021,119771224,0.260953734
17/03/2021,120121525,0.292475094
18/03/2021,120564145,0.36847684
19/03/2021,121024194,0.381580278
20/03/2021,121485476,0.381148583
21/03/2021,122437836,0.783929101
22/03/2021,122847080,0.334246352
23/03/2021,123208586,0.294273173
24/03/2021,123621380,0.335036716
25/03/2021,124116716,0.400687972
26/03/2021,124639031,0.420825669
27/03/2021,125158155,0.416501954
28/03/2021,126270340,0.888623678
29/03/2021,126736443,0.369131025
30/03/2021,127141834,0.319869321
31/03/2021,127584693,0.34831887
